User Input,Chatbot Response,Timestamp
Good Evening,Hello! Howâ€™s your evening shaping up?,2024-12-10 22:47:52
How Are you,Can you elaborate on that?,2024-12-10 22:48:11
I am sad,Why do you think you feel this way?,2024-12-10 22:49:27
What's the difference between anxiety and stress?,How were you feeling last week?,2024-12-10 22:50:07
How can I maintain social connections? What if I feel lonely?,Can you elaborate on that?,2024-12-10 22:50:29
How do I know if I'm unwell?,Can you elaborate on that?,2024-12-10 22:50:43
How do I know if I'm unwell,I'm listening. Please go on.,2024-12-10 22:50:46
What do I do if I'm worried about my mental health?,Let's discuss further why you're feeling this way.,2024-12-10 22:51:01
What do I do if I'm worried about my mental health,How were you feeling last week?,2024-12-10 22:51:04
Good afternoon,"Hey there, good afternoon! Whatâ€™s been happening today?",2024-12-11 15:35:38
Who created you?,I was trained on a text dataset using Deep Learning & Natural Language Processing techniques,2024-12-11 15:36:07
I feel great today.,That's geat to hear. I'm glad you're feeling this way.,2024-12-11 15:36:36
Where do you live?,Everywhere,2024-12-11 15:36:59
What is therapy?,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,2024-12-11 15:37:27
Goodbye,See you later.,2024-12-11 15:38:01
